game_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,Money Line
0041700101,0,L,0,1,0,240,41,86,0.477,8,21,0.381,16,18,1,6,29,35,29,11,3,13,21,106,1610612761,2017,324.00
0041700101,1,W,1,0,1,240,41,77,0.532,16,30,0.533,16,20,1,5,33,38,26,6,7,17,18,114,1610612764,2017,-373.00
0021701230,1,W,27,55,0.329,240,38,80,0.475,7,26,0.269,13,20,1,6,42,48,22,6,3,11,14,96,1610612745,2017,-130.00
0021701230,0,L,65,17,0.793,240,31,82,0.378,13,46,0.283,8,12,1,8,32,40,11,2,6,14,24,83,1610612758,2017,118.00
0021701229,0,L,48,34,0.585,240,33,89,0.371,8,23,0.348,19,24,1,14,39,53,18,5,7,14,19,93,1610612757,2017,118.00
0021701229,1,W,49,33,0.598,240,41,89,0.461,9,24,0.375,11,16,1,7,39,46,19,9,9,10,22,102,1610612762,2017,-130.00
0021701228,1,L,42,40,0.512,240,41,83,0.494,6,18,0.333,12,28,0,8,33,41,27,8,1,17,17,100,1610612747,2017,-130.00
0021701228,0,W,35,47,0.427,240,42,88,0.477,17,39,0.436,14,16,1,10,39,49,25,8,6,17,23,115,1610612746,2017,118.00
0021701227,0,L,22,60,0.268,240,44,91,0.484,13,31,0.419,22,24,1,9,32,41,22,9,2,13,22,123,1610612760,2017,1817.00
0021701227,1,W,48,34,0.585,240,47,85,0.553,20,43,0.465,23,32,1,8,37,45,32,8,3,14,23,137,1610612763,2017,-3500.00
0021701226,0,L,47,35,0.573,240,37,92,0.402,8,24,0.333,16,19,1,12,26,38,22,9,1,17,17,98,1610612740,2017,146.00
0021701226,1,W,48,34,0.585,240,52,88,0.591,5,19,0.263,13,19,1,11,40,51,30,11,5,19,20,122,1610612759,2017,-162.00
0021701225,1,W,47,35,0.573,265,42,89,0.472,9,23,0.391,19,25,1,8,32,40,24,10,2,8,19,112,1610612743,2017,-165.00
0021701225,0,L,46,36,0.561,265,41,90,0.456,13,32,0.406,11,18,1,10,37,47,19,4,4,12,22,106,1610612750,2017,149.00
0021701224,0,W,39,43,0.476,240,47,89,0.528,15,35,0.429,10,10,1,7,40,47,27,12,4,11,21,119,1610612741,2017,-203.00
0021701224,1,L,27,55,0.329,240,32,86,0.372,11,34,0.324,12,18,1,12,28,40,21,8,1,18,15,87,1610612765,2017,182.00
0021701223,1,W,52,30,0.634,240,52,105,0.495,15,36,0.417,11,15,1,17,40,57,35,15,7,12,17,130,1610612749,2017,-258.00
0021701223,0,L,44,38,0.537,240,37,90,0.411,7,25,0.28,14,16,1,10,33,43,22,6,5,20,17,95,1610612755,2017,229.00
0021701222,0,L,43,39,0.524,240,33,95,0.347,10,34,0.294,16,27,1,18,32,50,17,5,1,12,25,92,1610612753,2017,-258.00
0021701222,1,W,25,57,0.305,240,33,77,0.429,13,32,0.406,22,27,1,6,36,42,20,6,7,16,27,101,1610612764,2017,229.00
0021701221,0,L,59,23,0.72,265,42,92,0.457,9,30,0.3,16,21,1,9,38,47,24,5,10,13,24,109,1610612748,2017,124.00
0021701221,1,W,44,38,0.537,265,46,106,0.434,11,26,0.423,13,20,1,19,37,56,26,8,7,9,18,116,1610612761,2017,-137.00
0021701220,0,W,29,53,0.354,240,43,85,0.506,12,27,0.444,12,13,1,8,31,39,30,10,3,15,22,110,1610612739,2017,312.00
0021701220,1,L,50,32,0.61,240,37,94,0.394,6,24,0.25,18,28,1,17,31,48,15,9,3,14,15,98,1610612752,2017,-359.00
0021701219,1,W,55,27,0.671,240,46,102,0.451,6,24,0.25,12,15,1,20,42,62,22,6,6,13,14,110,1610612751,2017,165.00
0021701219,0,L,28,54,0.341,240,37,91,0.407,11,40,0.275,12,16,1,10,34,44,27,10,6,15,12,97,1610612738,2017,-183.00
0021701218,1,L,34,47,0.42,240,38,90,0.422,10,36,0.278,13,15,1,9,38,47,22,14,4,17,19,99,1610612745,2017,320.00
